,Alpha_Three_Factor,Sector,alpha
AXS,9.52029181383e-05,xlf,-0.00212241027361
AXTA,0.00208880443205,xli,0.00773014666733
AYI,-0.000688757879847,xli,0.0102778563455
AZO,-0.00102977265369,xly,0.00576789116949
BA,0.00227727300856,xli,0.00181486569204
BAC,0.00188861753842,xlf,0.00427184179736
BAH,0.000869709713688,xly,0.00104215549797
BAX,0.00135725131947,xlv,0.00344652729245
BBBY,-0.0033302774951,xly,0.00508597759855
BBT,0.000613400059105,xlf,0.00282905310531
BBY,0.00134207493474,xly,0.0036687276773
BC,0.00117405297724,xle,0.00116960128407
BCR,0.00210800845022,xlv,
BDN,0.00115922217125,xly,0.000721843191478
BDX,0.00111922233767,xlv,0.00135960793192
BEN,0.00106189122009,xlf,-0.000492986968242
BERY,0.00137790841292,xlp,0.00218062219569
BF-A,0.00109473070815,xlp,0.00246758060104
BF-B,0.00122374837293,xlp,0.00280094605286
BFAM,0.000792984628471,xly,0.0028904728598
BG,0.000424839549415,xlp,0.00144056473341
BGCP,0.00230526862021,xlf,0.00226718411231
BHF,-0.00128506218986,xlf,
BHGE,2.41182841156e-05,xle,-0.000528798306867
BIIB,0.000219028331778,xlv,0.00307614797217
BIO,0.00146229063955,xlp,0.00226420536105
BIVV,0.00126714637094,xlv,-0.00305322282753
BK,0.000701661017919,xlf,0.00112224650206
BKD,0.000123833002333,xlv,0.00333283618775
BKI,5.73915817793,xlk,
BKU,0.000289201559796,xlf,0.00535935257071
BLK,0.00162798425746,xlf,0.00259305089956
BLL,0.000749692590601,xlb,-0.000189731211995
BMRN,0.000269255957244,xlv,0.00301566756036
BMS,0.000687731876087,xly,0.000807129928317
BMY,0.00040143089296,xlv,-0.00125205217415
BOH,0.000230078917774,xlf,0.00157976404362
BOKF,0.000512120921819,xlf,0.00232247475031
BPOP,-0.000741108410462,xlf,0.00683387773602
BR,0.00178197360141,xly,0.00266369031576
BRCD,0.000154882703229,xlk,
BRK-B,0.000720041076313,xly,0.000777766006935
BRKR,0.00223505970188,xlp,0.00873002121795
BRO,0.00105044371918,xlf,0.00188993110329
BRX,-1.15315295133e-05,xly,0.000107954109772
BSX,0.00166612831202,xlv,-0.00347933305313
BUFF,0.00154104803793,xlp,0.00775603683994
BURL,0.00168620370795,xly,0.00995307063696
BWA,0.00244005125742,xly,0.00352000720768
BWXT,0.00207756403173,xle,0.00121576742418
BXP,0.000425174591792,xlre,-0.000395313701323
C,0.00179913072915,xlf,0.00156304719682
CA,0.000848115760046,xlk,0.000916151195746
CAA,0.00224312822868,xlp,0.00799397303704
CABO,0.00108938759319,xly,8.02813180421e-05
CACC,0.0022581754577,xlf,0.00491747513155
CAG,0.000148986823936,xlp,0.00303817648978
CAH,-0.000125778215618,xlv,-0.00364531010254
CASY,-0.000225886527141,xly,0.00475357811033
CAT,0.0018536881925,xli,0.00372731959954
CAVM,0.00190729244493,xlk,0.00726011392277
CB,0.000984208541433,xlf,-0.00153611057014
CBG,0.00184760313287,xlre,0.00230008958333
CBOE,0.00233959271928,xlf,0.00233731200181
CBS,-5.28431761885e-05,xly,-0.000553321004167
CBSH,0.000230277982169,xlf,0.0016934939497
CBT,0.00140805286775,xli,0.00388830990385
CC,0.00545548417878,xli,0.00443623452173
CCI,0.00196680896135,xlre,-0.000430739469588
CCK,0.00095479430454,xly,2.65831168084e-05
CCL,0.00159485250283,xly,0.00149134947259
CDEV,0.00190378620046,xle,0.00324252483646
CDK,0.000571179498759,xly,0.00496861100147
CDNS,0.00282601117326,xlk,0.00153833108212
CDW,0.00143195563274,xly,0.00408205697806
CE,0.0019543565556,xli,0.00121749633199
CELG,-0.000441638777568,xlv,-0.00575348779692
CERN,0.00140694346927,xlv,-0.00314610099669
CF,0.00194044983217,xlb,0.00719708207289
CFG,0.00160471943829,xlf,0.00445752659023
CFR,0.00110973534611,xlf,0.00283569080853
CFX,0.00130327439882,xlp,0.00213635561761
CGNX,0.00355112167932,xlp,0.00452139912108
CHD,0.000274995785869,xli,-0.000364269029269
CHH,0.00139120568485,xly,0.0026678201149
CHK,0.000413549604567,xle,0.00406003928348
CHRW,0.00126509860104,xli,0.00286920394796
CHTR,0.00072498262651,xly,-0.00152656894152
CI,0.00220844457946,xlv,0.00552586608312
CIM,0.00124486701791,xly,-0.000977707828055
CINF,0.000151340059505,xlf,-0.00203818255023
CIT,0.00132855500983,xlf,0.00345001188197
CL,0.000480372719202,xlp,-0.00172533551692
CLGX,0.00169380667874,xlk,-0.00196225286555
CLH,0.000859065340123,xli,-0.0024535396531
CLNS,0.000625667008546,xly,-0.00437936921955
CLR,0.000935349897132,xle,0.00807630975564
CLX,0.000604047688842,xly,-0.000178605108958
CMA,0.00171094974306,xlf,0.00421513739256
CMCSA,0.000287057338809,xly,-0.000201597190472
CME,0.00129248438706,xlf,0.00102187242541
CMG,-0.00133304870715,xly,-0.00334688961201
CMI,0.00172889419606,xle,0.00156590967647
CMS,0.000851209210538,xlu,-0.00143782761352
CNA,0.00177542536534,xlf,0.00110666684005
CNC,0.00316334365423,xlv,0.00438739618399
CNDT,5.38537025789e-05,xly,-0.000352387426048
CNK,-0.000785998457276,xly,0.000682413027681
CNP,0.00126173402643,xlu,-0.0010767581
CNX,0.000652436257959,xle,0.00411912483166
COF,0.00101644323972,xlf,0.00491954876329
COG,0.00238794085167,xle,0.00584280085542
COH,9.78145203071e-05,xly,
COHR,0.00409821359979,xlp,0.0039989339719
COL,0.00171003792086,xli,0.000570866774904
COMM,0.000647203594706,xlk,0.00441626069073
CONE,0.00277750617598,xly,-0.00143985678035
COO,0.00174452308773,xlv,0.00208977873198
COP,0.0013636698582,xle,0.00147840178793
COR,0.00287143286969,xly,-0.0021046071687
COST,0.000385860381591,xly,0.00358471317526
COTY,-0.000471745901325,xlp,0.0017349746646
CPA,0.00172518243623,xli,0.00626094463822
CPB,8.40449217978e-05,xlp,0.000806446749079
CPN,0.00149881089325,xlu,0.000271892993757
CPRT,0.00142016294328,xly,0.00275902740668
CPT,0.000955199605762,xly,-0.000652080506151
CR,0.00132170735648,xlp,0.00277646899317
CRI,0.000584127294593,xlp,0.00698754964434
CRL,0.00239635794745,xlv,0.00213359474351
CRM,0.00170683331093,xlk,0.00334864302777
CSCO,0.00026482754931,xlk,0.00624948880448
CSGP,0.00190945786437,xly,0.00432609553529
CSL,0.000125700435903,xli,0.00429412731147
CSRA,0.000529430206555,xlk,0.000889644066554
CSX,0.00310617112126,xli,-0.00025050982423
CTAS,0.00170283267752,xli,0.00144531699647
CTL,-0.000709916217336,xlk,-0.000205971133851
CTSH,0.00159648332299,xlk,-0.000413401135919
CTXS,0.00164781551443,xlk,0.00262791025685
CUBE,0.00065548817334,xly,0.000477355523999
CVS,-0.000221737289628,xlv,0.000185153857103
CVX,0.000565006540929,xle,-0.000370784232505
CXO,0.00120400075198,xle,0.00396187759368
CXP,0.000700210799251,xly,0.00168056527627
CXW,0.00131973825573,xly,-0.00260002634183
CY,0.00270924418608,xlk,0.0045806977659
D,0.000510430474889,xlu,-0.00172341874925
DAL,0.00138223493633,xli,0.00409517830695
DATA,0.00285281347763,xlk,-0.000108510259616
DCI,0.00115287098931,xlp,0.00356990033587
DCT,0.0017852388482,xly,0.000174927047747
DDR,-0.00151614831625,xly,0.000378495670955
DE,0.00177474625007,xli,0.00527409963654
DEI,0.00124426263793,xly,0.000770278685547
DFS,0.000482641282239,xlf,0.00455318997696
DG,0.000443334489732,xly,0.00481077120916
DGX,0.000743826015388,xlv,0.00156403923782
DHI,0.00257269804562,xly,0.00516741234448
DHR,0.000901964761021,xlv,0.00163084368969
DIS,-0.00011467711336,xly,0.00125091541728
DISCA,-0.0017188247336,xly,0.00314303539007
DISCK,-0.00185503495939,xly,0.00315289361455
DISH,-6.20366387531e-05,xly,-0.000901752533071
DKS,-0.00289873030638,xly,0.0068261081361
DLB,0.000996633145033,xly,0.00237405871035
DLPH,0.00259665540967,xly,-0.0146610251069
DLR,0.00204337879806,xlre,-0.00275426891254
DLTR,0.000908669021523,xly,0.00573231639915
DNB,0.000382843415508,xlf,0.00211446954213
DNKN,0.000591321808049,xly,0.00353871027916
DOV,0.00201703949674,xlk,0.00355075829472
DOX,0.000612907346234,xlk,0.00265640138294
DPS,0.000490687043924,xlp,0.000710689929275
DPZ,0.000539818221375,xlp,0.000668208227559
DRE,0.00166992036567,xlre,-0.000841266790317
DRI,0.000740917502507,xly,0.00530586859127
DST,0.00124523428849,xlk,0.00105416402463
DTE,0.000825014507998,xlu,-0.0017621367486
DUK,0.000687621711731,xlu,-0.00222941024435
DVA,0.000343993748705,xlv,0.00649560484848
DVMT,0.00236198837965,xlk,0.00385003715069
DVN,0.000634821605745,xle,0.0046401741872
DWDP,0.00170120597167,xlb,0.00264028239056
DXC,0.00296046149896,xlk,0.00302439033995
DXCM,-0.000201841060147,xlv,0.00308467152506
EA,0.00185181533429,xlk,0.00227507446029
EBAY,0.000871553742816,xlk,0.00165480155103
ECL,0.000407537018921,xlb,0.000916747524323
ED,0.000903682533257,xlu,-0.001754681237
EEFT,0.00119429388538,xlf,0.00131994798365
EFX,0.000218278763973,xlf,0.00366638585693
EGN,0.00099381878898,xle,0.00227465326215
EIX,0.000619760280039,xlu,-0.00187753119074
EL,0.00215169461596,xlp,0.00221604886188
ELS,0.00144707493008,xly,0.000522932617275
EMN,0.00165640964337,xlb,0.00382993439437
EMR,0.00118857084474,xle,0.00336955627742
ENDP,-0.00255156028186,xlv,0.00603827261353
ENR,0.000825735567831,xly,0.00249426062136
EOG,0.000348020071132,xle,0.0037419902442
EPC,-0.000986288461963,xlp,-0.000861487488329
EPR,0.000699768767762,xly,-0.00242855557276
EQC,0.000554288869824,xly,0.000453455787054
EQIX,0.00221985697572,xlre,-0.00203467241154
EQR,0.000855960358863,xlre,-0.0010355930077
EQT,0.00102747311128,xle,-0.0019783856501
ERIE,0.00063871960161,xlf,0.00124171379122
ES,0.000890769609866,xlu,-0.000958257973671
ESRT,0.000457926730316,xly,-0.00110310372489
ESRX,0.000221896927596,xlv,0.0049474678462
ESS,0.000650620961459,xlre,-0.000213796936495
ETFC,0.00132704604135,xlf,0.00321922081563
ETN,0.00141106899866,xlk,0.00227548522066
ETR,0.00103308482294,xlu,-0.000129179681613
EV,0.00131416002018,xlf,0.00304634345662
EVHC,-0.00220205593915,xlv,0.00432026005306
EW,0.00019440608373,xlv,0.00145441171573
EWBC,0.00195411404511,xlf,0.00222514028784
EXC,0.00115115349571,xlu,-0.000770283958392
EXEL,0.0023111628992,xlv,0.00815757372087
EXP,0.00153729857875,xlp,0.00471230519442
EXPD,0.000892251341814,xli,0.000624513471193
EXPE,0.000892386337877,xly,-0.00663699516026
EXR,0.000827952323168,xlre,0.00128621389078
F,0.000671872745742,xly,0.00287145765775
FAF,0.00187761277659,xlf,0.00394877431761
FANG,0.000982898148062,xle,0.00672604716361
FAST,0.000733010315272,xli,0.00184258224602
FB,0.00199342996317,xlk,0.00310007315192
FBHS,0.00162633242585,xli,0.00223155817594
FCE-A,0.00187081720894,xlre,-0.000988556183253
FCX,0.00103288065723,xlb,0.00536833834725
FDC,0.00143225487748,xly,0.000344231038628
FDS,0.000651065387191,xlk,0.00103911774433
FDX,0.00131913939022,xli,0.00424702682973
FE,9.37167967363e-05,xlu,-0.00015515593652
FEYE,0.00170505795932,xlk,0.0033135820521
FFIV,-0.000175016531716,xlk,0.00395356242495
FHB,0.000753422753395,xlf,0.00185720691021
FHN,0.000619007898368,xlf,0.00180771966355
FII,0.000975409677791,xlf,0.00447514045378
FIS,0.0010242781849,xlk,0.000484956159487
FISV,0.00101826640714,xlk,0.000883557034452
FITB,0.00126708073142,xlf,0.00255206629837
FL,-0.0039436433394,xly,0.0145796655294
FLIR,0.000983860443091,xlk,0.0017804738355
FLO,0.000848448616202,xlp,0.00195175193291
FLR,0.000136335646254,xli,0.00530034624124
FLS,0.00063944214215,xli,0.00338750817285
FLT,0.000818976228956,xly,0.00222575414765
FMC,0.00305170948014,xlb,0.00184033442668
FNB,0.000718224415149,xlf,0.00247520243521
FND,0.0023068377451,xly,
FNF,0.00242481130017,xlf,0.00444557639782
FOX,0.000381580993177,xly,0.00508031434295
FOXA,0.000479641521811,xly,0.00481608058346
FRC,0.00115733339778,xlf,-0.000449105113867
FRT,9.88851645421e-05,xlre,-0.00109873654599
FSLR,0.00282313052556,xlk,0.0143614655319
FTNT,0.00177481807957,xlk,0.00292185700667
FTV,0.00171894831583,xli,0.00222314675501
FWONA,0.00166970785728,xly,0.000948605523809
FWONK,0.00191309015963,xly,0.000980387074278
G,0.00113440628954,xly,0.00239895437886
GD,0.000885115753867,xli,-0.000340744550127
GDDY,0.00160241180312,xlk,0.00483107004157
GDI,0.00364944444403,xlk,0.0100137696879
GE,-0.0016147504407,xle,-0.00586583717144
GGG,0.00230080372692,xlp,0.00367921077579
GGP,-1.45174043986e-05,xlre,-0.00397834089945
GHC,0.00108176264474,xly,0.00302306274135
GILD,-9.32063747318e-06,xlv,-0.000876592139371
GIS,-0.000202698066215,xlp,0.00186358109098
GLPI,0.0015692224479,xly,0.000189561960225
GLW,0.00146708100255,xlk,0.00470028497471
GM,0.00110676221034,xly,0.00240803018494
GME,-0.000816872702891,xly,-0.00274604654387
GNTX,0.00075378535292,xlp,0.00361069911136
GOOG,0.00149647258366,xlk,0.00390147485567
GOOGL,0.00147197110366,xlk,0.00368153183246
GPC,0.000474076457838,xly,0.0021907118491
GPK,0.00133579448544,xly,0.00247598250666
GPN,0.0019930944053,xlk,0.00411086424686
GPOR,-0.000145029436768,xle,0.00232910416636
GPS,0.000184567504898,xly,0.00725978505069
GRA,0.00121411057767,xli,0.0034270590343
GRMN,0.00109735402121,xly,0.00357937224083
GS,0.000933829420475,xlf,0.00141686380768
GT,9.02547120136e-05,xly,-0.000394667859433
GWR,0.0010580274581,xli,0.00301262990047
GWRE,0.00187475461792,xlk,0.00266789030767
GWW,-0.000275444400964,xli,0.00168179231363
GXP,0.000971354756066,xlu,0.000464480451929
H,0.00145825731418,xly,0.00132843752674
HAIN,0.000907580086457,xlp,0.00492618110144
HAL,-3.66202134167e-05,xle,0.00147715408335
HAS,0.000980301990998,xly,-0.000657109664396
HBAN,0.00122652428597,xlf,0.00220932555674
HBI,-0.000674018193742,xly,0.00014718224793
HCA,0.00111407679418,xlv,0.000616987082928
HCN,0.00106534828617,xlre,-0.00153754487291
HCP,0.000380104461914,xlre,-0.00113292135001
HD,0.0011448965824,xly,0.00443177193705
HDS,7.85308591492e-05,xly,0.00256342984067
HE,0.000935928547689,xlu,0.000449328980194
HEI,0.00217454325072,xlp,0.00160298600135
HEI-A,0.00192646315489,xlb,0.00130938244
HES,0.000326675079723,xle,0.00125355110117
HFC,0.00311181870849,xle,0.00665183009145
HGV,0.00302479589207,xly,0.000604249833869
HHC,0.000398872939118,xly,0.00392706320277
HIG,0.000781253236138,xlf,0.0010318854811
HII,0.00139640505222,xlp,-0.000458305550225
HIW,0.000800031932431,xly,-0.000651222400334
HLF,0.00216195251378,xlv,0.00168865084796
HLT,0.00245678911546,xly,0.00344299682351
HOG,-0.000225898421016,xly,0.000371288260532
HOLX,0.000307672271492,xlv,0.00414216507229
HON,0.00119820806368,xli,0.00189940769204
HP,0.000671331666801,xle,0.00449947497568
HPE,0.000793558018078,xlk,0.00578823409711
HPP,0.000867343580523,xlf,-0.00050559477232
HPQ,0.00180101870447,xlk,0.00347902224309
HPT,0.000896684011283,xly,-0.000122269273441
HRB,0.00135315876429,xly,0.0025916714422
HRC,0.00208830327224,xlv,0.00401908388161
HRL,0.000487359389914,xlp,0.00238324575744
HRS,0.00144018501705,xlk,0.00222130661116
HSIC,0.000175244873011,xlv,-0.00207873976822
HST,0.00181493826928,xlre,-0.000695648571418
HSY,0.000735212503995,xlp,-0.00133316821567
HTA,0.00101079694708,xly,-0.000378403986184
HUBB,0.00113969007597,xlp,0.00410283338588
HUM,0.00101908567275,xlv,0.00366435940441
HUN,0.00354448097135,xli,0.00855965976262
HXL,0.00131617454241,xli,-0.000132341691896
IAC,0.00375014732606,xly,0.00391731022476
IBKR,0.00172868350322,xlf,0.00459824823391
IBM,-4.64075591485e-05,xlk,0.000551033400829
ICE,0.00165243572795,xlf,0.000513541082387
ICPT,-0.00104066388615,xlv,0.000445867240967
IDXX,0.00209697297483,xlv,0.00533804028433
IEX,0.00198758350342,xlp,0.00281260218431
IFF,0.00150917916585,xlb,0.00150478892275
IGT,-0.000433558313457,xly,0.00399831335715
ILMN,0.00233888213447,xlv,0.004935921905
INCY,0.00125821706848,xlv,-0.000718939040439
INFO,0.00100246876702,xlk,0.00112069662026
INGR,0.000443789762575,xlp,0.00278132578959
INT,0.00026220107208,xle,-0.00591251948256
INTC,0.00122615768711,xlk,0.0060122345894
INTU,0.00080009494689,xlk,0.00314016273042
INVH,0.69857733501,xlf,
IONS,0.00080237184985,xlv,-0.00367198110076
IP,0.00121009510749,xlb,0.00355304301497
IPG,-0.000443569580194,xlk,-0.000528757286984
IPGP,0.00392306867864,xlk,0.00725177203941
IR,0.000900424597961,xli,0.00101074299446
IRM,0.00201246968989,xlre,-0.00100932437096
ISRG,0.0030343981661,xlv,0.00200326191274
IT,0.0010991652046,xlk,0.00271288116054
ITT,0.00130368066586,xlp,0.00155074745853
ITW,0.00127546463434,xlk,0.00257432944029
IVZ,0.00138316987217,xlf,0.00176544102895
JBGS,0.00184397880946,xly,0.000431867031135
JBHT,0.00119923840452,xli,0.00370507895201
JBL,0.00182482600584,xlk,0.00261106867847
JBLU,0.000590918079579,xli,0.00393236182164
JCI,0.000507558317168,xli,0.00090287806955
JEC,0.00116257288542,xli,0.0045518640284
JKHY,0.00131400146418,xlk,0.00174001100338
JLL,0.00186454125012,xlf,0.00374619406314
JNJ,0.000434999868486,xlv,-0.000693113814996
JNPR,-0.000136663374434,xlk,0.00436585791322
JPM,0.00148896564807,xlf,0.00355643160392
JUNO,0.00482429801374,xlv,0.000943987392248
JW-A,0.000378878396681,xlp,0.00604233620801
JWN,-0.00155477495246,xly,0.0058436397067
K,-0.000305905145892,xlp,0.00155111027375
KAR,0.00138332804502,xly,0.000761996019008
KEX,0.00151742224578,xly,0.00456001926475
KEY,0.00122659774432,xlf,0.00297375680119
KEYS,0.00123176748818,xlp,0.00141651037302
KHC,9.31625034812e-05,xlp,-0.00143729828999
KIM,-0.000578793290792,xlre,-0.0029556645233
KLAC,0.00205118055955,xlk,0.00210015949851
KMB,-4.61112807241e-05,xly,-0.000419983636203
KMI,0.000141968797387,xle,0.00129502811706
KMX,0.00210898501519,xly,-0.000796764691519
KO,0.00063677599728,xlp,-0.00232144986591
KORS,0.000583447138132,xly,0.00397303918247
KOS,0.00340267231201,xle,0.00237570809215
KR,-0.00211094923343,xly,0.0046667619632
KRC,0.000663457004119,xly,0.000601706374627
KSS,-0.000512097718817,xly,0.00701425815077
KSU,0.00168078910043,xli,0.000838179079357
L,0.000454103282814,xlf,0.000366299299175
LAMR,0.00155580654015,xly,-0.00227150115754
LAZ,0.00223040948995,xlf,0.00377301093784
LB,-0.000873503263159,xly,0.00711819394038
LBRDA,0.000822778658049,xly,-0.00244505276475
LBRDK,0.000742969799561,xly,-0.00258876680044
LDOS,0.00156937579886,xlk,0.00110153173446
LEA,0.00219452481724,xlp,0.00410265770707
LECO,0.00106765061621,xlk,0.00113582159995
LEG,0.000461783941167,xly,0.00205789797752
LEN,0.00185499028007,xli,0.00428239458046
LEN-B,0.00193133394149,xli,0.0048101654964
LEXEA,0.00082968235938,xly,
LGF-A,0.00128697951581,xly,0.000547780598252
LGF-B,0.00117019790505,xly,-0.000797567812697
LH,0.00120560511946,xlv,0.0026660590395
LII,0.00116943722003,xlp,0.00514101478929
LKQ,0.000628407093916,xly,0.00487711511612
LLL,0.000584127055748,xlk,0.00262225368614
LLY,0.000837172067483,xlv,-0.000588799015558
LM,0.00205169005453,xlf,0.00338641343271
LMT,0.00115516616648,xli,0.00042278556659
LNC,0.00138237379203,xlf,0.00170238589791
LNG,0.00233147203452,xlu,0.00329563000825
LNT,0.0010617438393,xlu,-0.000935049287015
LOGM,0.00143678054026,xlk,0.00322271654523
LOW,0.00118020001112,xly,0.00529429600613
LPI,0.000103243519045,xle,0.00370357524772
LPLA,0.00176038088303,xlf,-0.000337062675171
LPNT,-0.000390242808368,xlv,-0.00346923179754
LPT,0.0011393567296,xly,0.000320382273326
LRCX,0.00389856609973,xlk,0.0034084943239
LSI,0.000449078095905,xly,-0.000460975754515
LSTR,0.00146411938502,xli,0.00308478117761
LSXMA,0.00092962583957,xly,-0.00341644457433
LSXMK,0.00119292189512,xly,-0.00324500501636
LUK,0.00121982412074,xlf,0.0019163682703
LULU,0.000465692080371,xlp,0.0077637376918
LUV,0.00104431889575,xli,0.00308964077282
LVNTA,0.00161206913071,xly,-0.000417481411626
LVS,0.00154611323971,xly,0.000547523279636
LW,0.0023697214304,xlp,0.00293718108441
LYB,0.00189121406438,xlb,0.00349431816718
LYV,0.00218314417922,xly,0.000887327183968
M,-0.00266907382849,xly,0.00511456754167
MA,0.00216220519514,xlk,0.00355913098594
MAA,0.000681429669949,xlre,-0.00205183493387
MAC,-0.000180252661888,xlre,-0.00223536332268
MAN,0.00253743998439,xlk,0.00379557800634
MANH,-0.000362453002055,xlk,0.00183598395719
MAR,0.00248486132297,xly,0.00517381409818
MAS,0.00149743649115,xli,0.0037051511934
MAT,-0.00270530869049,xly,-0.00124054033194
MCD,0.00168675852542,xly,0.000955378488176
MCHP,0.00199398230728,xlk,0.00395897042172
MCK,0.000682312466973,xlv,-0.00115506852929
MCO,0.00189775850038,xlf,0.00203873920575
MCY,0.00029224629837,xlf,-0.00194923864477
MD,-0.000628148935652,xlv,0.00740858736753
MDLZ,0.000563884215616,xlp,0.000256169011284
MDT,0.000268777950911,xlv,0.00323388871508
MDU,0.000211633423105,xli,0.00171255681025
MET,0.000939290222297,xlf,-0.000587290363776
MFA,0.00120519913338,xly,-0.00124084145821
MGM,0.000991510484396,xly,0.00243819170194
MHK,0.00158186421072,xly,0.00219658421801
MIC,0.000595224222195,xle,0.000217171140415
MIDD,0.000186848085322,xlk,0.0055465346529
MIK,0.000115324576437,xly,0.00699759972913
MKC,0.00114408485218,xlp,0.00149980055581
MKL,0.000844670529107,xlf,0.001466600724
MKTX,-1.46542604673e-05,xlf,0.00266160169641
MLM,0.0011476027615,xlb,0.00474719062799
MMC,0.000924212431342,xlf,-0.00131944031815
MMM,0.00117097348171,xlv,0.00328928253393
MNK,-0.00347541475193,xlv,0.0125516633803
MNST,0.0017576978409,xlp,0.00100633746089
MO,0.000352842756666,xlp,0.00109869258506
MON,0.000909079724186,xlb,-0.000274225215556
MORN,0.00094089553172,xlf,0.00348966443396
MOS,7.34319124377e-05,xlb,0.00591125338509
MPC,0.00188586141513,xle,0.00387406281837
MPW,0.00137434404907,xly,0.000561227871964
MRK,-0.000301807088,xlv,-0.00324361541047
MRO,0.00073036323628,xle,0.00341478950119
MRVL,0.00194565375464,xlk,0.00668420420836
MS,0.00105566410051,xlf,0.00245699608637
