,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
179,CHD,False,False,False,False,False,True,False,False,False,False
180,CHH,True,False,False,False,False,False,False,False,False,False
181,CHK,False,False,True,False,False,False,False,False,False,False
182,CHRW,False,False,False,False,False,True,False,False,False,False
183,CHTR,True,False,False,False,False,False,False,False,False,False
184,CI,False,False,False,False,True,False,False,False,False,False
185,CIM,True,False,False,False,False,False,False,False,False,False
186,CINF,False,False,False,True,False,False,False,False,False,False
187,CIT,False,False,False,True,False,False,False,False,False,False
188,CL,False,True,False,False,False,False,False,False,False,False
189,CLGX,False,False,False,False,False,False,False,False,True,False
190,CLH,False,False,False,False,False,True,False,False,False,False
191,CLNS,True,False,False,False,False,False,False,False,False,False
192,CLR,False,False,True,False,False,False,False,False,False,False
193,CLX,True,False,False,False,False,False,False,False,False,False
194,CMA,False,False,False,True,False,False,False,False,False,False
195,CMCSA,True,False,False,False,False,False,False,False,False,False
196,CME,False,False,False,True,False,False,False,False,False,False
197,CMG,True,False,False,False,False,False,False,False,False,False
198,CMI,False,False,True,False,False,False,False,False,False,False
199,CMS,False,False,False,False,False,False,False,False,False,True
200,CNA,False,False,False,True,False,False,False,False,False,False
201,CNC,False,False,False,False,True,False,False,False,False,False
202,CNDT,True,False,False,False,False,False,False,False,False,False
203,CNK,True,False,False,False,False,False,False,False,False,False
204,CNP,False,False,False,False,False,False,False,False,False,True
205,CNX,False,False,True,False,False,False,False,False,False,False
206,COF,False,False,False,True,False,False,False,False,False,False
207,COG,False,False,True,False,False,False,False,False,False,False
208,COH,True,False,False,False,False,False,False,False,False,False
209,COHR,False,True,False,False,False,False,False,False,False,False
210,COL,False,False,False,False,False,True,False,False,False,False
211,COMM,False,False,False,False,False,False,False,False,True,False
212,CONE,True,False,False,False,False,False,False,False,False,False
213,COO,False,False,False,False,True,False,False,False,False,False
214,COP,False,False,True,False,False,False,False,False,False,False
215,COR,True,False,False,False,False,False,False,False,False,False
216,COST,True,False,False,False,False,False,False,False,False,False
217,COTY,False,True,False,False,False,False,False,False,False,False
218,CPA,False,False,False,False,False,True,False,False,False,False
219,CPB,False,True,False,False,False,False,False,False,False,False
220,CPN,False,False,False,False,False,False,False,False,False,True
221,CPRT,True,False,False,False,False,False,False,False,False,False
222,CPT,True,False,False,False,False,False,False,False,False,False
223,CR,False,True,False,False,False,False,False,False,False,False
224,CRI,False,True,False,False,False,False,False,False,False,False
225,CRL,False,False,False,False,True,False,False,False,False,False
226,CRM,False,False,False,False,False,False,False,False,True,False
227,CSCO,False,False,False,False,False,False,False,False,True,False
228,CSGP,True,False,False,False,False,False,False,False,False,False
229,CSL,False,False,False,False,False,True,False,False,False,False
230,CSRA,False,False,False,False,False,False,False,False,True,False
231,CSX,False,False,False,False,False,True,False,False,False,False
232,CTAS,False,False,False,False,False,True,False,False,False,False
233,CTL,False,False,False,False,False,False,False,False,True,False
234,CTSH,False,False,False,False,False,False,False,False,True,False
235,CTXS,False,False,False,False,False,False,False,False,True,False
236,CUBE,True,False,False,False,False,False,False,False,False,False
237,CVS,False,False,False,False,True,False,False,False,False,False
238,CVX,False,False,True,False,False,False,False,False,False,False
239,CXO,False,False,True,False,False,False,False,False,False,False
240,CXP,True,False,False,False,False,False,False,False,False,False
241,CXW,True,False,False,False,False,False,False,False,False,False
242,CY,False,False,False,False,False,False,False,False,True,False
243,D,False,False,False,False,False,False,False,False,False,True
244,DAL,False,False,False,False,False,True,False,False,False,False
245,DATA,False,False,False,False,False,False,False,False,True,False
246,DCI,False,True,False,False,False,False,False,False,False,False
247,DCT,True,False,False,False,False,False,False,False,False,False
248,DDR,True,False,False,False,False,False,False,False,False,False
249,DE,False,False,False,False,False,True,False,False,False,False
250,DEI,True,False,False,False,False,False,False,False,False,False
251,DFS,False,False,False,True,False,False,False,False,False,False
252,DG,True,False,False,False,False,False,False,False,False,False
253,DGX,False,False,False,False,True,False,False,False,False,False
254,DHI,True,False,False,False,False,False,False,False,False,False
255,DHR,False,False,False,False,True,False,False,False,False,False
256,DIS,True,False,False,False,False,False,False,False,False,False
257,DISCA,True,False,False,False,False,False,False,False,False,False
258,DISCK,True,False,False,False,False,False,False,False,False,False
259,DISH,True,False,False,False,False,False,False,False,False,False
260,DKS,True,False,False,False,False,False,False,False,False,False
261,DLB,True,False,False,False,False,False,False,False,False,False
262,DLPH,True,False,False,False,False,False,False,False,False,False
263,DLR,False,False,False,False,False,False,False,True,False,False
264,DLTR,True,False,False,False,False,False,False,False,False,False
265,DNB,False,False,False,True,False,False,False,False,False,False
266,DNKN,True,False,False,False,False,False,False,False,False,False
267,DOV,False,False,False,False,False,False,False,False,True,False
268,DOX,False,False,False,False,False,False,False,False,True,False
269,DPS,False,True,False,False,False,False,False,False,False,False
270,DPZ,False,True,False,False,False,False,False,False,False,False
271,DRE,False,False,False,False,False,False,False,True,False,False
272,DRI,True,False,False,False,False,False,False,False,False,False
273,DST,False,False,False,False,False,False,False,False,True,False
274,DTE,False,False,False,False,False,False,False,False,False,True
275,DUK,False,False,False,False,False,False,False,False,False,True
276,DVA,False,False,False,False,True,False,False,False,False,False
277,DVMT,False,False,False,False,False,False,False,False,True,False
278,DVN,False,False,True,False,False,False,False,False,False,False
279,DWDP,False,False,False,False,False,False,True,False,False,False
280,DXC,False,False,False,False,False,False,False,False,True,False
281,DXCM,False,False,False,False,True,False,False,False,False,False
282,EA,False,False,False,False,False,False,False,False,True,False
283,EBAY,False,False,False,False,False,False,False,False,True,False
284,ECL,False,False,False,False,False,False,True,False,False,False
285,ED,False,False,False,False,False,False,False,False,False,True
286,EEFT,False,False,False,True,False,False,False,False,False,False
287,EFX,False,False,False,True,False,False,False,False,False,False
288,EGN,False,False,True,False,False,False,False,False,False,False
289,EIX,False,False,False,False,False,False,False,False,False,True
290,EL,False,True,False,False,False,False,False,False,False,False
291,ELS,True,False,False,False,False,False,False,False,False,False
292,EMN,False,False,False,False,False,False,True,False,False,False
293,EMR,False,False,True,False,False,False,False,False,False,False
294,ENDP,False,False,False,False,True,False,False,False,False,False
295,ENR,True,False,False,False,False,False,False,False,False,False
296,EOG,False,False,True,False,False,False,False,False,False,False
297,EPC,False,True,False,False,False,False,False,False,False,False
298,EPR,True,False,False,False,False,False,False,False,False,False
299,EQC,True,False,False,False,False,False,False,False,False,False
