,Alpha_Three_Factor,Sector,alpha,beta
LSXMK,0.00119292189512,xly,-0.00324500501636,0.9532
VWR,0.00119450938941,xly,,0.7928
PK,0.00119507334339,xly,0.00062892084965,2.3824
MFA,0.00120519913338,xly,-0.00124084145821,0.621
VFC,0.00120932054711,xly,0.0045441833844,0.9773
PVH,0.00122785593959,xly,0.00617060726299,1.0928
TWO,0.00123611377674,xly,0.000578753025554,0.5602
DEI,0.00124426263793,xly,0.000770278685547,0.8063
CIM,0.00124486701791,xly,-0.000977707828055,0.5087
APLE,0.00125391833911,xly,0.000112527425037,0.7903
UNVR,0.00127274093506,xly,-9.93789944907e-05,1.5099
LGF-A,0.00128697951581,xly,0.000547780598252,
RYN,0.00130691950772,xly,0.00287575800158,0.9239
CXW,0.00131973825573,xly,-0.00260002634183,0.927
OHI,0.00132676064156,xly,-0.00350853887816,0.5637
STOR,0.00132704887857,xly,-0.000646014131783,0.6545
NRZ,0.00133334922082,xly,0.00153181722646,0.8696
GPK,0.00133579448544,xly,0.00247598250666,0.9496
BBY,0.00134207493474,xly,0.0036687276773,0.9111
POOL,0.00134211993925,xly,0.00321845158618,0.948
AN,0.00134926313642,xly,0.00237413298742,1.1589
HRB,0.00135315876429,xly,0.0025916714422,0.7879
MPW,0.00137434404907,xly,0.000561227871964,0.8095
KAR,0.00138332804502,xly,0.000761996019008,0.8342
CHH,0.00139120568485,xly,0.0026678201149,0.9158
VNTV,0.00140532733697,xly,,0.9571
SNH,0.00140800010452,xly,-0.000334993912268,0.7031
YUM,0.00141760689309,xly,-0.000704231011389,1.1076
CPRT,0.00142016294328,xly,0.00275902740668,0.9002
WPC,0.00142840236037,xly,-0.000213238435853,0.6925
CDW,0.00143195563274,xly,0.00408205697806,0.9741
FDC,0.00143225487748,xly,0.000344231038628,2.2284
ELS,0.00144707493008,xly,0.000522932617275,0.521
H,0.00145825731418,xly,0.00132843752674,1.0621
NCLH,0.00147820913994,xly,0.00178302806463,1.2315
R,0.00147983594618,xly,0.0040473602716,1.4311
UHAL,0.00148903240646,xly,0.00132622125184,0.8576
NLY,0.00150598766768,xly,-0.002296353545,0.3908
KEX,0.00151742224578,xly,0.00456001926475,1.1047
ASH,0.00154046876643,xly,0.00695518845591,0.8737
LVS,0.00154611323971,xly,0.000547523279636,1.3061
LAMR,0.00155580654015,xly,-0.00227150115754,0.7834
GLPI,0.0015692224479,xly,0.000189561960225,0.6209
MHK,0.00158186421072,xly,0.00219658421801,1.1602
STAY,0.0015869100431,xly,0.001714472772,
CCL,0.00159485250283,xly,0.00149134947259,1.0963
WEX,0.00159664889476,xly,0.0027698596348,1.3787
LVNTA,0.00161206913071,xly,-0.000417481411626,1.2611
RCL,0.00162251378886,xly,0.000587360202167,1.3023
SERV,0.001639160563,xly,0.0020212550141,0.7331
TRCO,0.00164237986427,xly,0.000826351105164,1.016
SIX,0.00166025326842,xly,0.00122369170087,0.7632
FWONA,0.00166970785728,xly,0.000948605523809,1.4996
BURL,0.00168620370795,xly,0.00995307063696,0.9596
MCD,0.00168675852542,xly,0.000955378488176,0.7053
NFLX,0.00175049341454,xly,0.00395076259405,1.5085
TIF,0.00176111585999,xly,0.00338411978291,1.1173
SCI,0.00176883636048,xly,0.00422098662357,0.952
BR,0.00178197360141,xly,0.00266369031576,0.9025
DCT,0.0017852388482,xly,0.000174927047747,0.8964
JBGS,0.00184397880946,xly,0.000431867031135,0.84
ATHN,0.00188767044614,xly,0.00355585908934,1.005
CSGP,0.00190945786437,xly,0.00432609553529,1.2032
FWONK,0.00191309015963,xly,0.000980387074278,1.5333
WYN,0.00194986736076,xly,0.00364274556361,1.0923
AMZN,0.00203241256427,xly,0.00756103273845,1.1026
OI,0.00209064590095,xly,6.49682089497e-05,1.4879
KMX,0.00210898501519,xly,-0.000796764691519,1.2763
MTN,0.00216410819873,xly,-0.000524004723529,0.8053
LYV,0.00218314417922,xly,0.000887327183968,1.0565
YUMC,0.0022314436137,xly,0.000934502301157,-0.287
FND,0.0023068377451,xly,,0.8949
BWA,0.00244005125742,xly,0.00352000720768,1.4962
HLT,0.00245678911546,xly,0.00344299682351,1.2262
MAR,0.00248486132297,xly,0.00517381409818,1.1772
DHI,0.00257269804562,xly,0.00516741234448,1.2935
PHM,0.00259144373987,xly,0.00641152466435,1.2003
DLPH,0.00259665540967,xly,-0.0146610251069,1.4094
MSCI,0.00270438583532,xly,0.000356975889428,1.0222
WYNN,0.00277669524679,xly,0.00317924026921,1.4956
CONE,0.00277750617598,xly,-0.00143985678035,0.8836
COR,0.00287143286969,xly,-0.0021046071687,0.7456
HGV,0.00302479589207,xly,0.000604249833869,-1.1987
W,0.00331287942721,xly,0.012014984755,1.0623
XPO,0.00345629438941,xly,0.0107897550184,1.8589
IAC,0.00375014732606,xly,0.00391731022476,1.0526
