,Alpha_Three_Factor,Sector,alpha,beta
HRS,0.00144018501705,xlk,0.00222130661116,0.9754
SYMC,0.00145323320713,xlk,0.0034570648951,0.9961
APH,0.00145983830971,xlk,0.00187872711977,1.0354
SNPS,0.00146399083665,xlk,0.00241350781184,0.9476
GLW,0.00146708100255,xlk,0.00470028497471,1.1389
GOOGL,0.00147197110366,xlk,0.00368153183246,1.0311
GOOG,0.00149647258366,xlk,0.00390147485567,1.034
RHI,0.00152321033242,xlk,0.00476086298342,1.1569
MSFT,0.00155730181333,xlk,0.00507320762671,1.2144
WBT,0.00155777016228,xlk,0.00479301684364,--
LDOS,0.00156937579886,xlk,0.00110153173446,1.1353
ORCL,0.00158307200196,xlk,0.000793229748118,1.0604
TXN,0.00159568836308,xlk,0.00482775933566,1.1956
TSS,0.00159613082197,xlk,0.00451560756429,1.1607
CTSH,0.00159648332299,xlk,-0.000413401135919,1.2478
ADI,0.00159832244538,xlk,0.0035715386005,1.2726
GDDY,0.00160241180312,xlk,0.00483107004157,0.944
SPLK,0.00161174218417,xlk,0.0106348619442,1.7946
CTXS,0.00164781551443,xlk,0.00262791025685,1.3492
TDC,0.00168775258052,xlk,0.00365748356204,1.2874
CLGX,0.00169380667874,xlk,-0.00196225286555,0.9415
FEYE,0.00170505795932,xlk,0.0033135820521,1.5975
CRM,0.00170683331093,xlk,0.00334864302777,1.2798
FTNT,0.00177481807957,xlk,0.00292185700667,1.2144
ZNGA,0.00178405898312,xlk,0.00459523898976,0.859
PNR,0.00178917276074,xlk,0.00115093696387,1.2784
MXIM,0.00179702346505,xlk,0.00276984744113,1.0405
HPQ,0.00180101870447,xlk,0.00347902224309,1.2756
XLNX,0.00180661316339,xlk,0.00128111994938,1.054
VRSN,0.00181895061698,xlk,0.00204685963518,0.9986
JBL,0.00182482600584,xlk,0.00261106867847,1.2752
EA,0.00185181533429,xlk,0.00227507446029,0.9693
XRX,0.00185642977437,xlk,-0.00125772336796,1.1744
GWRE,0.00187475461792,xlk,0.00266789030767,1.2355
V,0.00188834073214,xlk,0.00272807380139,1.4349
CAVM,0.00190729244493,xlk,0.00726011392277,1.5451
MRVL,0.00194565375464,xlk,0.00668420420836,1.1461
GPN,0.0019930944053,xlk,0.00411086424686,1.1581
FB,0.00199342996317,xlk,0.00310007315192,1.0936
MCHP,0.00199398230728,xlk,0.00395897042172,1.2279
DOV,0.00201703949674,xlk,0.00355075829472,1.1882
KLAC,0.00205118055955,xlk,0.00210015949851,0.9979
QRVO,0.00208453950046,xlk,0.00215123223147,1.6755
VMW,0.00208828916341,xlk,0.00581762994682,0.8718
MA,0.00216220519514,xlk,0.00355913098594,1.1547
MTCH,0.0021760181623,xlk,0.00553104148723,--
ZBRA,0.00230898510179,xlk,0.00408706085394,1.442
URI,0.00232474109454,xlk,0.00732379530564,1.71
AAPL,0.00236025655823,xlk,0.00246086238042,1.1206
DVMT,0.00236198837965,xlk,0.00385003715069,1.2303
SWKS,0.00239426560131,xlk,0.00400725062082,1.6676
ON,0.00242930601214,xlk,0.00712572561708,1.5398
PTC,0.00243033481657,xlk,0.00399423711589,1.1406
NATI,0.00250982384698,xlk,0.00243221378366,0.9221
PYPL,0.00252399078714,xlk,0.00451065710638,1.077
MAN,0.00253743998439,xlk,0.00379557800634,1.4362
ADBE,0.00257633627282,xlk,0.00394922524872,1.1202
NOW,0.00257653958252,xlk,0.00451889673769,1.3939
AMD,0.002577897147,xlk,-0.0014258973603,1.618
WDAY,0.00262291151596,xlk,0.00369609709613,1.4941
ANSS,0.00262908125079,xlk,0.00317787731984,1.0277
AVGO,0.00265886012077,xlk,0.0065319372245,1.4838
CY,0.00270924418608,xlk,0.0045806977659,1.4467
RHT,0.00272670387731,xlk,0.00194629729855,1.1758
WDC,0.00277233332184,xlk,0.0023334366927,1.5604
FSLR,0.00282313052556,xlk,0.0143614655319,1.602
CDNS,0.00282601117326,xlk,0.00153833108212,1.0092
DATA,0.00285281347763,xlk,-0.000108510259616,1.8564
TEAM,0.00288904529343,xlk,0.00438555100144,--
VEEV,0.00291500575417,xlk,0.00127820320426,1.2516
DXC,0.00296046149896,xlk,0.00302439033995,0.4321
NVDA,0.00305949799186,xlk,0.00486781672379,1.3232
ATVI,0.00314434117168,xlk,0.00363414187986,1.1407
AMAT,0.00344428126669,xlk,0.00407566802276,1.3143
ADSK,0.00355560997819,xlk,0.00159457540826,1.4184
GDI,0.00364944444403,xlk,0.0100137696879,0.3532
TTWO,0.0038330462891,xlk,0.00436187493657,1.0784
ANET,0.00389041273835,xlk,0.00805086172944,1.1279
LRCX,0.00389856609973,xlk,0.0034084943239,1.3351
IPGP,0.00392306867864,xlk,0.00725177203941,1.2388
MU,0.00455324978335,xlk,0.00803755010306,1.7797
SQ,0.00562628777365,xlk,0.0095579292985,1.096
BKI,5.73915817793,xlk,,--
